Folder Path,Text Content,Tabular Content,Summary,CSV File Path
E:/APQR LLM/Data/mapped/page53table1,"Text:


","ANNUAL PRODUCT QUALITY REVIEW (13-05-\n2021 - 31-12-2024)  Unnamed: 1  Unnamed: 2  Unnamed: 3               Document Code:  Unnamed: 5  Unnamed: 6                                                                    Unnamed: 7  Unnamed: 8  Unnamed: 9  Unnamed: 10                                                                  Unnamed: 11
                                        Product Code: 236         NaN         NaN         NaN Product Name: Kratom \nSite:         NaN         NaN                                                                           NaN         NaN         NaN          NaN                                                                          NaN
                                                      NaN         NaN         NaN         NaN                          NaN         NaN         NaN within \nspecification \nlimit. Hence \nconsidered \nfor  \nfinal \nreporting         NaN         NaN          NaN and applied \nas per  \nSOP028165 \nHPLC and \nUPLC \noperation \npractices.","The provided text describes an Annual Product Quality Review for Kratom (Product Code 236) covering the period from May 13, 2021, to December 31, 2024.  

The table suggests that the quality review involved HPLC and UPLC analysis (likely for purity and potency testing). The results were within specification limits and therefore considered acceptable for final reporting. The review process appears to have followed standard operating procedure SOP028165.


Let me know if you need any further information extracted from this text!","E:/APQR LLM/Data/mapped/page53table1/page_53_table_1.csv"""
E:/APQR LLM/Data/mapped/page105table1,"Text:


","                                                  ANNUAL PRODUCT QUALITY REVIEW
APQR No.AR-APQR-XXX-YY \nReview Period 02/08/2022 to 25/08/2023 \nRef. SOP XXXX
                     Polyethylene glycol 3350  powder 17g,119g,238g,510g & 850g","This document outlines an Annual Product Quality Review (APQR) for Polyethylene glycol 3350 powder in various sizes (17g, 119g, 238g, 510g, and 850g).  

The review period covers from February 8th, 2022 to August 25th, 2023 and follows standard operating procedure XXXX. The APQR document number is AR-APQR-XXX-YY.  


Let me know if you'd like me to analyze any specific aspects of the review further!","E:/APQR LLM/Data/mapped/page105table1/page_105_table_1.csv"""
E:/APQR LLM/Data/mapped/page88table1,"Text:


","                                                  ANNUAL PRODUCT QUALITY REVIEW
APQR No.AR-APQR-XXX-YY \nReview Period 02/08/2022 to 25/08/2023 \nRef. SOP XXXX
                     Polyethylene glycol 3350  powder 17g,119g,238g,510g & 850g","This document appears to be the start of an **Annual Product Quality Review (APQR)** for **Polyethylene glycol 3350 powder**.  

Here's what we know:

* **Document:** ANNUAL PRODUCT QUALITY REVIEW
* **Number:** AR-APQR-XXX-YY (The specific numbers are redacted)
* **Review Period:** February 8th, 2022 to August 25th, 2023
* **Reference Standard Operating Procedure:** XXXX (The specific number is redacted)
* **Product:** Polyethylene glycol 3350 powder in various sizes: 17g, 119g, 238g, 510g & 850g.


The full APQR would likely contain detailed information on the product's quality performance during the review period, including data on testing, stability, complaints, and any changes made to the manufacturing process. 
","E:/APQR LLM/Data/mapped/page88table1/page_88_table_1.csv"""
E:/APQR LLM/Data/mapped/page67table1,"Text:


","                                                    ANNUAL PRODUCT QUALITY REVIEW
APQR No.AR-APQR-XXX-YY \nReview Period 02/08/2022 to \nRef. SOP XXXX \n25/08/2023
                       Polyethylene glycol 3350  powder 17g,119g,238g,510g & 850g","This document appears to be the beginning of an **Annual Product Quality Review (APQR)** for **Polyethylene glycol 3350 powder**. 

Here's a breakdown:

* **Document ID:** AR-APQR-XXX-YY (The specific numbers are missing)
* **Review Period:** February 8, 2022, to August 25, 2023
* **Reference Standard Operating Procedure:** XXXX (The specific number is missing)
* **Product:** Polyethylene glycol 3350 powder in various weights: 17g, 119g, 238g, 510g, and 850g.


The APQR likely contains a detailed analysis of the product's quality during the review period, including information on manufacturing, testing, complaints, and any deviations or changes that occurred. 
","E:/APQR LLM/Data/mapped/page67table1/page_67_table_1.csv"""
E:/APQR LLM/Data/mapped/page43table3,"Text:
6.3.2
Excipient
Material
Product
Code:
236
BMR
Ref
No:
KR/236

"," S.No. Material Code    Material Name SAP Code                 Manufacturer \nName                                                                                              Manufacturer \nAddress Manufacturer \nQualification Status Date of Update
     1      00000385   BalanCDTM 3-9L    CD038                            Fujifilm                                                                                        Daimler Street, \nSanta Ana,                           Qualified     2024-05-13
     2    Neo/exp/12 White petrolatum   EXP/28                                 Neo                                                                                                                 NaN                           Qualified     2024-05-28
     3     100000115   Sodium Citrate   SC/093 Thermofisher \nScientific India Pvt Thermofisher \nScientific India Pvt. \nLtd., Plot K-43, \nadditional MIDC, \nAnand nagar, \nAmbernath east, \nThane                           Qualified     2024-05-13","The provided text appears to be an excerpt from a document detailing a specific excipient (ingredient used in pharmaceuticals). 

Here's what we can gather:

* **Excipient Information:** The text refers to an excipient with a product code of ""236"" and a Batch Manufacturing Record (BMR) reference number ""KR/236"". This suggests it's part of a detailed manufacturing process for a pharmaceutical product.
* **Tabular Data:** The table lists various materials used in pharmaceuticals, likely including the excipient mentioned in the text.  

**Key information from the table:**

* Each material has a unique ""Material Code"" and ""Material Name"". 
* It also includes information about the manufacturer: their name, address, qualification status (indicating they meet quality standards), and the date of last update.

**Possible Connections:**

While we don't have enough information to definitively connect the text and table, it's highly likely that ""236"" in the text corresponds to one of the ""Material Code"" entries in the table. The next step would be to cross-reference the codes to determine which specific material is being referred to as the excipient. 



Let me know if you have any more context or information, and I can help you analyze it further!","E:/APQR LLM/Data/mapped/page43table3/page_43_table_3.csv"""
E:/APQR LLM/Data/mapped/page44table1,"Text:


","ANNUAL PRODUCT QUALITY REVIEW (13-05-2021 - \n31-12-2024)               Document Code:
                                        Product Code: 236 Product Name: Kratom \nSite:","This document appears to be an outline for an **Annual Product Quality Review** covering the period from **May 13, 2021, to December 31, 2024**.  The review will focus on **Kratom**, identified by **Product Code 236**. The review will likely be conducted at a specific site (the name of which is missing).

You've provided the title and some basic information about the document. To get a more complete summary, we would need the actual content of the review.","E:/APQR LLM/Data/mapped/page44table1/page_44_table_1.csv"""
E:/APQR LLM/Data/mapped/page54table1,"Text:


","ANNUAL PRODUCT QUALITY REVIEW (13-05-\n2021 - 31-12-2024)  Unnamed: 1  Unnamed: 2  Unnamed: 3               Document Code:  Unnamed: 5  Unnamed: 6                                                                                                                                                                                                                                                                                                                                     Unnamed: 7  Unnamed: 8  Unnamed: 9                                                                                                                                                       Unnamed: 10                                                                                                                                                                                                                     Unnamed: 11
                                        Product Code: 236         NaN         NaN         NaN Product Name: Kratom \nSite:         NaN         NaN                                                                                                                                                                                                                                                                                                                                            NaN         NaN         NaN                                                                                                                                                               NaN                                                                                                                                                                                                                             NaN
                                                      NaN         NaN         NaN         NaN                          NaN         NaN         NaN at RT 2.4, \n3.3  \nand 3.8 min \nas unknown \npeak, which \nleads to \ngenerate the \nOOS results. \nHence \nreprocess the \ninitial \nchromatogra\nm under \nphase-1A \nanalysis and \nresults of \nSubject  \nbatches and \nimpacted \nbatches \nfound well \nwithin \nspecification \nlimit. Hence \nconsidered \nfor  \nfinal \nreporting         NaN         NaN and as per \ntrend. Phase-\nIA analysis \nresult \nconsidered \nfor final \nreporting for \nsubject OOS  \nbatch. \nHence, no \nimpact on \nthe product \nquality cautious \nwhile \npreparing \nthe \nprocessing \nmethod for  \nintegration \nof sample \nsets. All the \nprocessing \nparameters \nshould be set \nand applied \nas per  \nSOP028165 \nHPLC and \nUPLC \noperation \npractices","This document appears to be an excerpt from an Annual Product Quality Review for Kratom, with a product code of 236.

The review covers the period from May 13, 2021, to December 31, 2024. It highlights an Out-of-Specification (OOS) result due to unknown peaks appearing in the initial chromatogram analysis.

To address this issue, the initial chromatogram was reprocessed using phase-1A analysis. This resulted in subject and impacted batches falling within specification limits.  Therefore, the phase-IA analysis results were considered for final reporting. 

The review concludes by emphasizing the importance of caution while preparing processing methods for sample sets, recommending adherence to SOP028165 for HPLC and UPLC operation practices.


Let me know if you need further clarification or analysis on any specific aspect!","E:/APQR LLM/Data/mapped/page54table1/page_54_table_1.csv"""
E:/APQR LLM/Data/mapped/page45table1,"Text:


","ANNUAL PRODUCT QUALITY REVIEW (13-05-2021 - \n31-12-2024)               Document Code:
                                        Product Code: 236 Product Name: Kratom \nSite:","This document appears to be the heading for an ""Annual Product Quality Review"" for Kratom, a product with code 236.  The review period spans from May 13th, 2021, to December 31st, 2024. The document also includes a placeholder for the manufacturing site.  

Essentially, this is the cover sheet or title page for a detailed report analyzing the quality of Kratom production over a three-and-a-half year period. 


Let me know if you have any other text or data you'd like me to summarize!","E:/APQR LLM/Data/mapped/page45table1/page_45_table_1.csv"""
E:/APQR LLM/Data/mapped/page56table1,"Text:


","ANNUAL PRODUCT QUALITY REVIEW (13-05-\n2021 - 31-12-2024)                                                         Document Code:
                                        Product Code: 236                                           Product Name: Kratom \nSite:
                                       1 \nRG/B \nKR/PCK2 Issue is with \nKR/BKR/236 \n236 \nOOS/01 \nREJ097 \nCAPA/01 \nquality","The provided text and data seem to be fragments of an **Annual Product Quality Review** for **Kratom (Product Code 236)**, covering the period from **May 13th, 2021 to December 31st, 2024**.

Here's a breakdown:

* **Document Type:** Annual Product Quality Review
* **Date Range:** May 13th, 2021 - December 31st, 2024
* **Product:** Kratom (Product Code 236)
* **Site:**  Site 1 (possibly a manufacturing or production site)

The table data suggests there were some quality issues (""OOS"" likely stands for ""Out of Specification"") with specific batches (KR/BKR/236, 236). It also mentions corrective and preventive actions (CAPA/01) being taken.  REJ097 might refer to a rejected batch or sample.

**Missing Information:**

To provide a more comprehensive summary, we would need additional context:


* **Full Review Document:** The table is only a snippet; the complete document likely contains detailed analyses of the quality issues, investigations, and corrective actions taken.
* **Definitions:** Clarification on acronyms like ""OOS,"" ""REJ,"" and ""CAPA"" within the context of this specific review would be helpful.","E:/APQR LLM/Data/mapped/page56table1/page_56_table_1.csv"""
E:/APQR LLM/Data/mapped/page61table3,"Text:
Remarks/Comments:
8.2
Cleaning
Validationn
Product
Code:
236
BMR
Ref
No:
KR/236

"," S.No. Protocol No Product Report Ref. No                    Batch No Reason For \nValidation  Conclusion
     1      CLV863  Kratom          LK983 YT763543,VB76373\n3,FG92653     Cleaning Validation         NaN","The text snippet appears to be part of a quality control document related to cleaning validation for a product named ""Kratom"" (Product Code: 236). 

Here's what we can gather:


* **Cleaning Validation:** The process being documented is likely a cleaning validation procedure. This ensures that residues from previous batches are effectively removed during cleaning, preventing contamination of subsequent products.
* **Score:** A score of ""8.2"" is mentioned under ""Remarks/Comments,"" which might be an assessment of the cleaning effectiveness or a related metric.

The table provides additional context:

* **Protocol No (CLV863):** This indicates the specific cleaning validation protocol being followed.
* **Product Report Ref. No (LK983):** A reference number for the product report associated with this validation.
* **Batch No (YT763543,VB76373\n3,FG92653):**  A list of batch numbers that underwent cleaning and are subject to this validation.

The ""Reason For Validation"" and ""Conclusion"" fields are incomplete in the table snippet.


 **Possible next steps:**

* **Complete the Table:** The missing information (""Reason For Validation"" and ""Conclusion"") would be crucial for a comprehensive understanding.
* **Context:** Knowing the specific manufacturing process, equipment involved, and cleaning procedures would provide deeper insight.","E:/APQR LLM/Data/mapped/page61table3/page_61_table_3.csv"""
E:/APQR LLM/Data/mapped/page16table2,"Text:


"," Batch No                                   Dimension of the vials
      NaN NMT - Vials dimension should not be more than 5 mm - 5mm
REL030845                                                        5
 REL02047                                                        5
 REL01023                                                    4.365
 PCB02787                                                      4.3","The text states a requirement for vial dimensions: they should not exceed 5mm.

The table presents data on vial dimensions for different batches:

* **REL030845:** Dimension = 5mm (meets requirement)
* **REL02047:** Dimension = 5mm (meets requirement)
* **REL01023:** Dimension = 4.365mm (meets requirement)
* **PCB02787:** Dimension = 4.3mm (meets requirement)

All listed batches have vial dimensions within the acceptable range of 5mm or less. 


","E:/APQR LLM/Data/mapped/page16table2/page_16_table_2.csv"""
E:/APQR LLM/Data/mapped/page100table1,"Text:


","                                                  ANNUAL PRODUCT QUALITY REVIEW        Unnamed: 1
APQR No.AR-APQR-XXX-YY \nReview Period 02/08/2022 to 25/08/2023 \nRef. SOP XXXX               NaN
                     Polyethylene glycol 3350  powder 17g,119g,238g,510g & 850g               NaN
                                                                      Parameter             Value
                                                                ""overallStdDev"" 0.336154726279432
                                                                           ""Pp""  2.47901715545304
                                                                          ""Ppk"" 0.753621215257724","The text describes an Annual Product Quality Review (APQR) for polyethylene glycol 3350 powder, available in various weights (17g, 119g, 238g, 510g & 850g).

The review period spans from February 8th, 2022 to August 25th, 2023, and follows Standard Operating Procedure (SOP) XXXX.

The table presents key quality parameters:

* **overallStdDev:** Represents the overall standard deviation of a measured characteristic, with a value of 0.336154726279432.
* **Pp:**  Process capability index indicating the potential for the process to produce within specifications (assuming it is centered). The value of 2.47901715545304 suggests a good potential capability.
* **Ppk:** Process capability index considering both process variation and centering. A value of 0.753621215257724 indicates the process is capable but not perfectly centered, meaning there's room for improvement. 


Overall, this APQR suggests the polyethylene glycol 3350 powder production process has good potential capability, but further adjustments may be needed to achieve optimal centering and minimize variability.","E:/APQR LLM/Data/mapped/page100table1/page_100_table_1.csv"""
E:/APQR LLM/Data/mapped/page37table2,"Text:
Annexure
cpkppk
Result
19
Remarks/Comments:
Product
Code:
236
BMR
Ref
No:
KR/236
Version
Number:
1

"," Unnamed: 0  Unnamed: 1  Unnamed: 2
        NaN         NaN         NaN
        NaN         NaN         NaN
        NaN         NaN         NaN","The provided information appears to be a mix of structured and unstructured data. 

**Unstructured Data:**

* **Annexure, cpkppk, Result, Remarks/Comments:** These terms suggest headings or labels within a larger document.  ""Result: 19"" likely indicates a numerical outcome. ""Remarks/Comments"" implies space for additional textual information about the result.
* **Product Code: 236, BMR Ref No: KR/236, Version Number: 1:** This section describes product-related details, including a code, a reference number (possibly related to Bill of Materials), and a version identifier.

**Structured Data:**

The table you provided seems empty. It has three unnamed columns but no data entries. This suggests either an incomplete table or a placeholder for future data input.


**Possible Context:**

Based on the available information, this could be part of a technical document, product specification sheet, or quality control report. The ""Result: 19"" might indicate a test outcome, and the ""Remarks/Comments"" section would contain explanations or observations related to that result. The product code and reference number help identify the specific item being evaluated.","E:/APQR LLM/Data/mapped/page37table2/page_37_table_2.csv"""
E:/APQR LLM/Data/mapped/page7table1,"Text:


","ANNUAL PRODUCT QUALITY REVIEW (13-05-2021 - \n31-12-2024)               Document Code:
                                        Product Code: 236 Product Name: Kratom \nSite:","The provided information outlines an **Annual Product Quality Review** for **Kratom** (Product Code: 236).  

* The review period covers from **May 13, 2021, to December 31, 2024**.
* The review is being conducted at a specific **Site** (location not provided in the excerpt).

The information suggests a formal quality control process is being undertaken for Kratom.  A ""Document Code"" further indicates standardized procedures are followed. 


Let me know if you'd like me to analyze any specific aspects of this review in more detail!","E:/APQR LLM/Data/mapped/page7table1/page_7_table_1.csv"""
